Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
"3,1 tỷ VND",59m2,"Bình Trị Đông A, Bình Tân",2,2,1 trệt 1 lầu,"Hàng xóm thân thiện, tiện ích bao quanh",Unknown,Bình Trị Đông A,Bình Tân,Unknown,nhà trong hẻm,284229
6.5 tỷ VND,63m2,"KDC Lê Thành, An Lạc",3,4,4,"Phòng khách, bếp, sân thượng",An Dương Vương,Không có thông tin,Không có thông tin,7m,Ngoài lộ,277336
11 tỷ VND,"Ngang 8 Dài 15, 4 tầng","Sát Phú Định, Quận 8",4,Not mentioned,4,"Gia đình ở, Kinh doanh Spa, Phòng Mạch, Chành xe, Trường Mầm non, VP Công ty",Not mentioned,Not mentioned,Quận 8,1,Ngoài lộ,277306
4 tỷ 5,5.3 x 21.35m,"Đường Thích Quảng Đức, quận Phú Nhuận",4,3,"1 trệt, 1 lầu","Dân cư xung quanh văn minh, gần chợ, pháp lý sổ hồng riêng, hoàn công đầy đủ",Thích Quảng Đức,Not mentioned,Phú Nhuận,Not mentioned,Not mentioned,277292
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,277287
4 tỷ 500 triệu,5.3 x 21.35m,"đường Thích Quảng Đức, Phường 4, Phú Nhuận",4,3,"1 trệt, 1 lầu","Dân cư xung quanh văn minh, gần chợ, hẻm xe hơi",Thích Quảng Đức,Phường 4,Phú Nhuận,5.3m,Nhà trong hẻm,277284
4.45 tỷ VND,36m2,Đường Hồng Lạc phường 13 quận Tân Bình,Not specified,2,2,Hẻm xe hơi nhỏ,Hồng Lạc,Phường 13,Quận Tân Bình,20,Nhà trong hẻm,277281
500 triệu,5x15m,"Bình Tân, Lê Văn Quới",Not specified,Not specified,4,"Ô tô thông, Nội thất cao cấp",Lê Văn Quới,Not specified,Bình Tân,Not specified,Hẻm ô tô thông,277275
3 tỷ VND,50m2,"Phường 4, Quận Phú Nhuận, TP. Hồ Chí Minh",1,1,Not mentioned,"CoopMart, Chợ Nguyễn Đình Chiểu, ĐH Tài chính - Marketing, BV Hoàn Mỹ, Công viên Gia Định",Quảng Đức,Phường 4,Phú Nhuận,2,Ngoài lộ,277268
6.5 tỷ VND,77m2,"Hương Lộ 2, Bình Tân",3,4,2,"Sổ hồng riêng, công chứng sang tên ngay, Khu dân trí cao, an ninh tốt",Hương Lộ 2,Bình Tân,Not specified,Not specified,Ngoài lộ,277262
Giá không được cung cấp trong nội dung,86m2,"Đường Bùi Thị Xuân, Phường 2, Tân Bình",4,5,4,"Sân thượng, sân rộng để xe, tiện ích phong phú, gần Vòng xoay Lê Văn Sỹ, công viên Hoàng Văn Thụ, thuận tiện di chuyển vào trung tâm",Bùi Thị Xuân,Phường 2,Tân Bình,Sác mặt tiền,Ngoài lộ,277254
3.2 tỷ VND,52m2,"Trần Văn Mười, Hóc Môn",2,2,2,"Gần QL22, trung tâm Huyện, Chợ chữ S, UBND xã, công viên Đá Nhật-Rin Rin Park, khu Du Lịch Sinh Thái Xuân Thới Sơn, tương lai sát vách AEON Hóc Môn",Trần Văn Mười,Not mentioned,Hóc Môn,Not mentioned,Nhà trong hẻm,277253
6.1 Tỷ,45m2,"Phường 12, Bình Thạnh",4,6,4,"Nhà trệt, sân thượng",Bùi Đình Tuy,Phường 12,Bình Thạnh,4m,Nhà trong hẻm,277331
6.5 tỷ VND,90m2,Mặt Tiền Vip Tỉnh Lộ 10,5,Not specified,4,Not specified,Tỉnh Lộ 10,Not specified,Not specified,1,Ngoài lộ,277250
5 tỷ,6x11m,"Khu Vip HXH thông Lê Văn Quới, Bình Tân",Not mentioned,Not mentioned,Not mentioned,"Khu dân trí, khu Vip Lê Văn Quới hội tụ đầy đủ tiện ích xung quanh",Lê Văn Quới,Not mentioned,Bình Tân,6m,Not mentioned,277328
3 tỷ 7,50m²,Nhỉnh Nguyễn Kiệm Ngay Gia Định,3,Not specified,2,Not specified,Nguyễn Kiệm,Not specified,Gia Định,Not specified,Not specified,277327
3.9 tỷ VND,Not specified,"Near Sacombank Lạc Long Quân, near THCS Bác Ái, near Chợ Vải Tân Bình",2,2,1,"Security, parking space",Not specified,Not specified,Not specified,Not specified,Alley,277319
6.35 tỷ VND,115m2,"Trục Đường thông Đỗ Xuân Hợp, Dương Đình Hội, XL HN, cao tốc Long Thành",5,1,Not mentioned,"MT đường xe tải né nhau, kinh doanh buôn bán tốt",Đường Đỗ Xuân Hợp,Dương Đình Hội,Not mentioned,Not mentioned,Ngoài lộ,277318
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,277317
"3,7 tỷ",60m2,"Vị trí giáp Aeon Mall, Hồ Học Lãm, An Lạc, Bình Tân",3,3,2,"Sổ hồng riêng, mua bán công chứng","Kinh Dương Vương, Võ Văn Kiệt, An Dương Vương",An Lạc,Bình Tân,Not mentioned,Cạnh đường lớn,277314
"3,35 tỷ VND",52m2,"Liên Khu 5-6, Bình Hưng Hòa B, Bình Tân",2,2,2,"Hẻm ô tô 16 chỗ, sổ hồng riêng, hoàn công đủ",Quốc lộ 1A,Bình Hưng Hòa B,Bình Tân,1,Nhà trong hẻm,277313
2 tỷ VND,Not specified,KHU AN NINH – YÊN TĨNH,Not specified,Not specified,Not specified,Công viên cây xanh,Not specified,Not specified,Not specified,Not specified,Nhà trong hẻm,277242
7.7 Tỷ,95m2 (5m x 19m),"Đường Thống Nhất, Phường 11, Gò Vấp",4,2,1 Trệt 1 Lầu,"Parking for cars inside the house, balcony, legal documents in order",Đường Thống Nhất,Phường 11,Gò Vấp,Not specified,Not specified,277216
4 tỷ VND,65m2,"Ngã 4 Kinh Dương Vương - Hồ Học Lãm, Bình Tân",3,Not specified,3,"Near Bến Xe Miền Tây, Aeon Bình Tân, An Lạc Primary School, Chợ Lớn Electronics Supermarket, Bình Tân District Court",Kinh Dương Vương,Not specified,Bình Tân,Not specified,In an alley,277212
6.3 tỷ,7x19m,"Trục Đường thông Đỗ Xuân Hợp, Dương Đình Hội, XL HN, cao tốc Long Thành",5,Not specified,Not specified,"Phù hợp xây căn hộ dịch vụ, kinh doanh, văn phòng công ty",Đỗ Xuân Hợp,Not specified,Not specified,1,Ngoài lộ,277210
"3,3 tỷ","Hơn 50m2, công nhận trên sổ 46.2m2",Đường 339,1,1,1 trệt,"Hẻm rộng, thoáng sạch đẹp, hẻm thông tứ tung",Đường 339,Not mentioned,Not mentioned,30m ra mặt tiền Đường 339,Nhà trong hẻm,277207
6 tỷ 98 triệu VND,4x23m,"Tân Phú, Kế Chợ Tân Hương, Hẻm Nhựa Thông",3,rộng,2,"Nội thất đep, vị trí đẹp, hẻm nhựa kinh doanh, gân chợ, tiện ích bao quanh",Hẻm Nhựa Thông,Tân Hương,Tân Phú,1,Nhà trong hẻm,277206
4 tỷ,65m2,"Ngã 4 Kinh Dương Vương - Hồ Học Lãm, Bình Tân, TP. Hồ Chí Minh",3,Not specified,3,"Near Bến Xe Miền Tây, Aeon Bình Tân, An Lạc Primary School, Điện Máy Chợ Lớn, Toàn Án Quận Bình Tân",Kinh Dương Vương,Not specified,Bình Tân,4,Nhà trong hẻm,277205
"3,35 tỷ","4,5x10","Sát mặt tiền ngã 6 Quang Trung, Nguyễn Văn Nghi, Nguyễn Kiệm ra sân bay",3,2,1,"kiên cố, an ninh",Quang Trung,Phường 10,Gò Vấp,1,Ngoài lộ,277204
7.5 tỷ VND,5x11,"Hxh Bạch Đằng, Phường 24, Bình Thạnh",8,8,3,"1 trệt, Sân thượng",Bạch Đằng,Phường 24,Bình Thạnh,5,Nhà trong hẻm,277203
4.2 tỷ,64m2 (4.9x13),"Khu vực gần đường Hoàng Diệu 2, Thủ Đức",3,1 (Wc),2,"PK, bếp, tiện ích ngập tràn xung quanh 200m vô số nhà hàng, quán ăn ẩm thực, cà phê bậc nhất, các trường Đại học, các trung tâm thương mại lớn",Hoàng Diệu 2,Not specified,Thủ Đức,Not specified,Not specified,277200
5.3 tỷ,70m2,"Quận 7, gần Lê văn Lương, Trần Xuân Soạn, Nguyễn Thị Thập",2,2,2,"Bếp, tủ bếp, phòng khách, sân trước nhà rộng",Không rõ,Không rõ,Quận 7,6m,Hẻm,277198
4.5 tỷ VND,55 m2,"Đường số 9, Bình Chiểu, Thủ Đức",2,2,Not mentioned,"Sổ hồng trong két, sang tên tại chỗ, gần nhà thờ khiết tâm, chợ khiết tâm, trường cấp 2-3, QL1A",Đường số 9,Bình Chiểu,Thủ Đức,6m,Hẻm xe tải,277239
3.95 tỷ VND,Not specified in the text,"Âu Cơ, P.9, Tân Bình",2,2,1,"Car parking, secure and quiet area, near the intersection of Âu Cơ and Lạc Long Quân",Âu Cơ,P.9,Tân Bình,Not specified in the text,In the alley,277197
5.9 Tỷ,4 x 11m (2 sổ),Hẻm 4m đường Phạm Thế Hiển Phường 3 Quận 8,4,3,2,"Khu dân cư hiện hữu, gần UBND phường cực kỳ an ninh, nơi buôn bán nhộn nhịp, đầy đủ các nhu cầu thiết yếu xung quanh, thích hợp sinh sống và đi lại.",Phạm Thế Hiển,Phường 3,Quận 8,4m,nhà trong hẻm,277234
4 tỷ VND,61m2,"Khu dân trí cao, hẻm xe tải thông, cách mặt tiền Lê Văn Khương 100m",3,2,2,"Có phòng ngủ dưới trệt, tiện kinh doanh online hoặc các ngành nghề khác",Lê Văn Khương,Not provided,Not provided,Not provided,Hẻm,277233
4 tỷ VND,61m2,"Khu dân trí cao, hẻm xe tải thông, cách mặt tiền Lê Văn Khương 100m",3,2,2,"Có phòng ngủ dưới trệt, tiện kinh doanh online hoặc các ngành nghề khác, ô tô ngủ trong nhà",Lê Văn Khương,Not mentioned,Not mentioned,Not mentioned,Nhà trong hẻm,277232
"4,6 tỷ",52m2 (4x13m2),"hẻm 230 Lò Lu, P. Trường Thạnh, Quận 9",4,3,2,"vị trí gần Vinhomes Q9, ĐH FPT, Samsung, Khu Công Nghệ Cao, sân trước, sân sau thoáng, nhà hiện đại, thoáng mát",Lò Lu,Trường Thạnh,Quận 9,6m,nhà trong hẻm,277231
3.4 tỷ,50m2,Tỉnh Lộ 10 giáp Q6,Not mentioned,Not mentioned,Not mentioned,"Hẻm rộng thông thoáng, ô tô 7 chỗ ra vào thoải mái, Sổ hồng chính chủ, tiện ích Siêu Thị, Chợ, Trường học",Tỉnh Lộ 10,Not mentioned,Quận 6,Not mentioned,Hẻm,277229
3 tỷ VND,44 m2 (4x11m),"Tân Phú, Bình Tân",Not specified,Not specified,Not specified,Kinh doanh cực thích,Not specified,Not specified,"Tân Phú, Bình Tân",6m,Not specified,277228
6 tỷ VND,86.2 m2,"Gần sát Bệnh Viện Hóc Môn, Thị trấn Hóc Môn",9,Not specified,5,"Phòng cháy chữa cháy, giấy phép kinh doanh đầy đủ",Not specified,Not specified,Hóc Môn,Not specified,Not specified,277217
3.1 tỷ,52 m2 (5 x 10.5),"Mặt Tiền Đường số 13, Linh Xuân",3,2,"2 (1 trệt, 1 lầu)","BAN CÔNG, SÂN THƯỢNG LỘNG GIÓ, PK,PT",Đường số 13,Linh Xuân,not specified,not specified,"Mặt tiền, Lô Gốc",277195
7 tỷ VND,"68m2, 4m x 17m","Gần đường Số 6 chợ Da Sà, cách khu phức hợp Aeon Tên Lửa chưa tới 1km",5,6,5,"Nội thất cao cấp, phòng thờ, sân thượng, tiện ích xung quanh đầy đủ",Tỉnh Lộ 10,Not mentioned,Not mentioned,7m,Nhà trong hẻm,277161
"3,8 Tỷ VND",73m2,"Mặt tiền hẻm nhựa 5m thông Lê Đình Cẩn, Tân Tạo, Bình Tân",4,2,Not mentioned,Sân để xe rộng rãi,Lê Đình Cẩn,Tân Tạo,Bình Tân,5m,Nhà trong hẻm,277160
"3,6 tỷ",50.1 m2,"Phường Tân Phú, Huyện (HXH)",2,2,1 trệt 1 lửng,"Phòng khách, bếp, phòng thờ, chỗ để xe",Not mentioned in the text,Tân Phú,HXH (Huyện),Not mentioned in the text,Nhà trong hẻm,277159
13 tỷ VND,7.5m x 13m,2 mt PHAN HUY ÍCH,10,6,3,"full nội thất, sân để xe, phòng khách, bếp, phòng thờ, phòng giặt, sân thượng",PHAN HUY ÍCH,Not mentioned,Not mentioned,2,Ngoài lộ,277156
54 tỷ VND,590m2 (11x54),"Mặt Tiền Đường Trần Thị Cờ, Phường Thới An, Quận 12, TP. Hồ Chí Minh",118 phòng từ 15m² trở lên,Not specified,6 Tầng,2 mặt bằng phía trước,Trần Thị Cờ,Thới An,Quận 12,Not specified,Not specified,277155
"2,15 tỷ VND",34m2,Quận 12,2,2,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Quận 12,2,Nhà trong hẻm,277144
4 tỷ,70m2,"Giáp Aeon Mall Tên Lửa, An Lạc, Bình Tân",3,Not mentioned,2,"Sân thượng, xe hơi đỗ gần nhà, sát mặt tiền Võ Văn Kiệt",Tên Lửa,An Lạc,Bình Tân,Not mentioned,Sát mặt tiền,277139
dưới 3 tỷ VND,32m2,"Tân Thới Hiệp, Q12",2,1,Not mentioned,"Khu an ninh, sân phơi quần áo",Nguyễn Văn Quá,Not mentioned,Quận 12,Not mentioned,Nhà trong hẻm,277138
dưới 3 tỷ,32m2,"Tân Thới Hiệp, Q12",2,1,Not mentioned,"sân phơi quần áo, hẻm thoáng, hàng xóm yên tĩnh, an ninh",Nguyễn Văn Quá,Tân Thới Hiệp,Q12,Not mentioned,nhà nằm hẻm cụt,277137
13 tỷ,273m2,"Khu dân cư yên tĩnh, mát mẻ, an ninh: gần Ủy Ban Phường, Công An Phường - Nằm trong khu vip Tên Lửa",4,Not mentioned,4,"bệnh viện công, bệnh viện quốc tế, trường học, Aeon Bình Tân",Not mentioned,Not mentioned,Quận 6,10m,Ngoài lộ,277136
Not mentioned in the listing,500m2,Near Hóc Môn Market,4,3,2,"Garage, Parking, Kitchen, Living Room, Steam Room",Not mentioned in the listing,Not mentioned in the listing,Hóc Môn District,500m2,Not mentioned in the listing,277187
7 tỷ VND,60m2,"Phường 5, Bình Thạnh",3,2,3,"Phòng khách, bếp rộng rãi, nhiều cửa sổ bao thoáng mát, sạch sẽ, an ninh, gần siêu thị Emart, chợ Cây Quéo, ĐH Văn Lang, BV Gia Định, công viên Gia Định",Không có thông tin,Phường 5,Bình Thạnh,2,Nhà trong hẻm,277135
8.8 tỷ VND,246 m²,"Đường Linh Đông, Ngay Phạm Văn Đồng",2,Not specified,1 trệt lửng 2PN,"Phù hợp xây Biệt Thự, CHDV cho thuê, nhà kho",Linh Đông,Not specified,Not specified,8m,Ngoài lộ,277186
Not provided in the text,240.5m2,"Gò Ô Môi, Q.7",6,6,"1 trệt, 2 lầu",Not provided in the text,Gò Ô Môi,Not provided in the text,Q.7,Not provided in the text,Not specified in the text,277185
13 tỷ VND,7.5m x 13m,2 mt PHAN HUY ÍCH,10,6,3,"sân để xe, phòng khách, bếp, phòng thờ, phòng giặt, sân thượng",PHAN HUY ÍCH,Not specified,Not specified,2,Ngoài lộ,277184
7.1 tỷ,5x15 5x15,"Hẻm xe hơi Điện Biên Phủ, Bình Thạnh",4,3,2 lầu,"Hẻm xe hơi sạch đẹp, khu nhà cao tầng, văn phòng, ĐH Hồng Bàng, Hutech...",Điện Biên Phủ,Not available,Bình Thạnh,Not available,Hẻm xe hơi,277183
4.35 tỷ,5x10,"Phạm Văn Đồng, gần GiagaMall, Sát bên Bình Thạnh , Gò Vấp , Sân Bay",3,2,2,ban công thoáng mát,Phạm Văn Đồng,Not specified,"Bình Thạnh , Gò Vấp",Not specified,Hẻm gần MT Phạm Văn Đồng,277181
4 tỷ,4.7 x 8.5,"Hẻm Xe Hơi Đỗ Cổng, Đường Vũ Tùng, Phường 2, Bình Thạnh",Not mentioned,Not mentioned,2,"Nhà dân cư đông đúc nhộn nhịp, buôn bán da ngành Vũ Tùng Phan Chu Trinh, Phan Bội Châu, Võ Trường Toản, Bùi Hữu Nghĩa",Đường Vũ Tùng,Phường 2,Bình Thạnh,Not mentioned,Nhà trong hẻm,277177
"10,6 tỷ",5x18,Hxh Bùi Đình Tuý P24 Bình Thạnh,3,3,2,"Khu an ninh, tiện ích công chức ở",Bùi Đình Tuý,P24,Bình Thạnh,8m,Nhà trong hẻm,277172
4.55 tỷ VND,72m2 (5.3x16m),"Đường Tâm Bình, Phường Tâm Phú, Quận Thủ Đức",4,3,2,"gần chợ Hiệp Bình, kết nối vào Phạm Văn Đồng, trong bán kính 1km có các trường THCS, THPT, tiểu học, mầm non, siêu thị bách hóa",Tâm Bình,Tâm Phú,Thủ Đức,2,nhà trong hẻm,277133
7 tỷ đồng,4x20m,"Tân Phú, Hẻm xe tải Tô Hiệu, Hoà Bình",3,Not specified,4,"Modern interior, suitable for multiple business types",Tô Hiệu,Not specified,Hoà Bình,Not specified,Hẻm,277119
8 tỷ VND,82m2,"VIP Tân Bình, P.2, Khu vực Hoàng Văn Thụ, Vòng xoay Lăng Cha Cả, Gần Sân Bay",4,Not specified,3,"Ô tô vào nhà, Hẻm nhựa sạch đẹp ôtô chạy thông khắp nơi, Khu vực an ninh, dân trí cao",Hoàng Văn Thụ,Tân Bình,Sân Bay,Not specified,Hẻm,277118
"5,5 tỷ VND",4x25 m,hẻm Đỗ Xuân Hợp,Not specified,Not specified,Not specified,"vinmart, bhx, chợ, cao tốc Long Thành, xa lộ Hà Nội, metro suối tiên",Đỗ Xuân Hợp,Not specified,Thủ Đức,Not specified,Hẻm,277117
4.3 tỷ VND,Not specified,Gần CH Vải Thiên Phúc,2,2,2,"Pháp lý chuẩn, sổ hồng riêng",Not specified,Not specified,Not specified,Not specified,Nhà trong hẻm,277116
"3,7 tỷ VND",53m2,"Vị trí ngay Aeon Mall Tên Lửa, Bình Trị Đông B, Bình Tân",4,Not provided,2,"bệnh viện Triều An, quốc tế Gia An 115, Aeon Mall, ngân hang, trường học, chợ",Not provided,Bình Trị Đông B,Bình Tân,Not provided,Not provided,277114
4.5 tỷ VND,80 m2 (4x20),"Hẻm 31 Đường Số 3, Tam Bình, Thủ Đức",4,3,Not mentioned,"Sổ hồng, hoàn công đầy đủ, Vị trí sầm uất, gần Bệnh viện, chợ, thông ra đường Gò Dưa, Tam Châu, an ninh tốt, dân trí cao, tiện ích xung quanh đầy đủ",Đường Số 3,Tam Bình,Thủ Đức,Not mentioned,Hẻm xe hơi,277113
"3,3 tỷ VND",44m2,"Mã Lò, Bình Trị Đông A, Bình Tân, gần ngã 4 Bốn Xã, giáp Tân Phú, Hòa Bình quận 11",2,2,2,"Nhà mới, kết cấu 2 tầng BTCT, sổ vuông vức, mua bán công chứng",Mã Lò,Bình Trị Đông A,Bình Tân,5m,Nhà trong hẻm,277112
4 tỷ VND,4x10.1 m2,"Hẻm xe hơi, trung tâm An Lạc, Bình Tân",3,Not mentioned,4,"BTCT (Not specified), 4m xe hơi đỗ cửa",Not mentioned,Not mentioned,Bình Tân,Not mentioned,Hẻm xe hơi,277110
"5,3 tỷ",92m2 (8x12 m nở hậu),"Hẻm ô tô vào tận nhà, đi 50m ra Đỗ Xuân Hợp, con đường trung tâm Q.9",4,1 (WC),4,"sân thượng, ban công, sân trước sau thoáng mát, tiện ra cao tốc Long Thành, xa lộ Hà Nội, metro suối tiên",Đỗ Xuân Hợp,Not mentioned,Quận 9,Not mentioned,Nhà trong hẻm,277108
4 tỷ,5x14m,Vincom Quang trung P10 Gò Vấp,2,Not mentioned,2,Đối diện Vincom Quang Trung,Not mentioned,Gò Vấp,Not mentioned,Not mentioned,Not mentioned,277107
3.6 tỷ,5.5x8m,P1 Gò Vấp giáp Bình Thạnh,3,3,2,full nội thất,Nguyễn Thượng Hiền,Not specified,Gò Vấp,Not specified,Not specified,277132
"3,85 tỷ VND",Không có thông tin rõ ràng về diện tích,"Khu phân lô đường số 6, gần trạm thu phí An Sương An Lạc, Bình Tân",3,Không có thông tin,3,"Xe hơi vào nhà, gần trường cấp 1 cấp 2",Khu phân lô đường số 6,Không có thông tin,Bình Tân,300m,Nhà trong hẻm,277106
5.x tỷ VND,50m2,"Trung tâm phường 21, Bình Thạnh",2,2,2,"Phòng khách, bếp, ban công, sân để xe",Not mentioned,Phường 21,Bình Thạnh,Not mentioned,Hẻm ô tô 6m,277131
5 tỷ VND,110m2,"Near Chợ Bà Chiểu, close to Q1 (Quận 1)",Not mentioned,Not mentioned,Not mentioned,"Hẻm xe hơi 7 chỗ, quay đầu thoải mái (7-seater car alley, easy turn around)",Bạch Đằng,Not mentioned,Bình Thạnh,Not mentioned,Not mentioned,277128
6.52 tỷ,8x20 m,Tây Hòa,4,4,Not mentioned,"Supermarket, primary and secondary school, health station, near Long Thanh Expressway, Hanoi Highway, Suoi Tien Metro",Not mentioned,Not mentioned,Not mentioned,Not mentioned,In alley,277127
"4,6 tỷ VND",Not mentioned in the text,"Vườn Lài, near UBND Quận",2,2,2,"Car access, nearby services and amenities",Vườn Lài,Not mentioned in the text,Not mentioned in the text,Not mentioned in the text,Hẻm,277125
16 tỷ,4.5x20m,"Lạc Long Quân, Quận 11",Not mentioned,Not mentioned,6,"Thang máy cao cấp, nội thất sang trọng",Lạc Long Quân,Not mentioned,Quận 11,2,Not mentioned,277124
4 tỷ,40m2,"Chu Văn An, Bình Thạnh",2,2,2,"Kết cấu chắc chắn, nhà nở hậu, hẻm 3 gác an ninh yên tĩnh",Chu Văn An,Not specified,Bình Thạnh,Not specified,Nhà trong hẻm,277123
5.x tỷ VND,50m2,"Trung tâm phường 21, Bình Thạnh",2,2,2,"phòng khách, bếp, ban công, sân để xe",Not mentioned in the text,Phường 21,Bình Thạnh,Not mentioned in the text,Nhà trong hẻm,277121
4 tỷ VND,30m2 (3.5x8.5),"Hẻm 8m Thông, Đường Lê Hồng Phong, Quận 10",3,Not specified,4,"Spa, văn phòng Cty..",Lê Hồng Phong,Not specified,Quận 10,Not specified,Hẻm,277103
"4,9 Tỷ",62 m²,"Đường Số 1, Phường Linh Xuân, Thủ Đức",4,4,3,"P khách, bếp, sân để xe",Đường Số 1,Linh Xuân,Thủ Đức,5m,hẻm,277092
9 tỷ VND,4x22m,"Khu Tên Lửa, Bình Tân",Not specified,Not specified,6,"View công viên, tiện ích bao quanh, gần AEON, an ninh, yên tĩnh",Not specified,Not specified,Bình Tân,4,Not specified,277090
